Date,Open,High,Low,Close,Ticks,Volume,Spread
2017.09.06,2.66,2.67,2.57,2.62,6852,45744000,1
2017.09.08,2.65,2.68,2.4,2.42,9938,70480000,1
2017.09.11,2.51,2.53,2.37,2.41,8089,56982400,1
2017.09.12,2.12,2.23,1.95,2.12,17877,170806400,1
2017.09.13,2.16,2.24,2.03,2.22,10544,88742400,1
2017.09.14,2.25,2.53,2.23,2.52,17434,148851200,1
2017.09.15,2.59,2.67,2.54,2.56,11571,111225600,1
2017.09.18,2.62,2.62,2.37,2.5,10428,72585600,1
2017.09.19,2.47,2.56,2.41,2.42,8056,56784000,1
2017.09.20,2.48,2.49,2.29,2.32,12608,89360000,1
2017.09.21,2.32,2.35,2.23,2.34,7820,47491200,1
2017.09.22,2.37,2.39,2.29,2.31,4880,29350400,1
2017.09.25,2.27,2.31,2.19,2.21,7752,53206400,1
2017.09.26,2.22,2.31,2.11,2.27,12177,83462400,1
2017.09.27,2.27,2.28,2.09,2.1,12104,87753600,1
2017.09.28,2.21,2.24,2.12,2.17,15413,149449600,1
2017.09.29,2.14,2.29,2.14,2.28,20086,159254400,1
2017.10.02,2.33,2.4,2.29,2.39,12446,101174400,1
2017.10.03,2.42,2.47,2.33,2.43,11013,79763200,1
2017.10.04,2.41,2.44,2.38,2.44,6572,47996800,1
2017.10.05,2.44,2.46,2.37,2.41,8846,68032000,1
2017.10.06,2.4,2.46,2.35,2.45,7684,49849600,1
2017.10.09,2.47,2.48,2.37,2.39,5399,38419200,1
2017.10.10,2.41,2.45,2.38,2.45,4480,29104000,1
2017.10.11,2.43,2.46,2.37,2.37,4453,43030400,1
2017.10.13,2.13,2.25,2.11,2.23,20491,167849600,1
2017.10.16,2.25,2.3,2.12,2.13,14004,102384000,1
2017.10.17,2.15,2.19,1.85,1.96,21313,183776000,1
2017.10.18,2.02,2.17,1.99,2.17,21049,163520000,1
2017.10.19,2.18,2.23,2.07,2.15,8537,67436800,1
2017.10.20,2.18,2.23,2.15,2.23,7873,64329600,1
2017.10.23,2.23,2.26,2.11,2.13,6980,55862400,1
2017.10.24,2.16,2.18,2.05,2.11,8682,68265600,1
2017.10.25,2.13,2.14,2.07,2.11,5880,35472000,1
2017.10.26,2.12,2.13,1.98,2.02,10269,64924800,1
2017.10.27,2.02,2.1,1.94,1.97,9692,71766400,1
2017.10.30,1.97,1.98,1.87,1.94,9418,62307200,1
2017.10.31,1.97,1.99,1.9,1.96,7285,49993600,1
2017.11.01,2.12,2.14,2.05,2.06,13290,104259200,1
2017.11.03,2.06,2.07,1.86,1.89,14918,118854400,1
2017.11.06,1.92,1.93,1.75,1.75,14324,111065600,1
2017.11.07,1.71,1.71,1.57,1.58,21200,191584000,1
2017.11.08,1.6,1.7,1.59,1.69,11635,105136000,1
2017.11.09,1.7,1.7,1.57,1.59,8689,87804800,1
2017.11.10,1.59,1.64,1.47,1.51,12517,130512000,1
2017.11.13,1.51,1.6,1.46,1.57,10153,91004800,1
2017.11.14,1.6,1.7,1.59,1.69,14741,120915200,1
2017.11.16,1.74,1.81,1.71,1.75,13561,121206400,1
2017.11.17,1.8,1.84,1.79,1.82,9258,78745600,1
2017.11.21,1.85,1.89,1.84,1.86,10364,78265600,1
2017.11.22,1.86,1.89,1.76,1.85,9992,89145600,1
2017.11.23,1.84,1.84,1.78,1.8,3689,35232000,1
2017.11.24,1.81,1.89,1.79,1.89,4707,44364800,1
2017.11.27,1.9,1.91,1.81,1.83,8732,74067200,1
2017.11.28,1.84,1.87,1.79,1.81,5097,37392000,1
2017.11.29,1.81,1.83,1.77,1.79,6792,45529600,1
2017.11.30,1.79,1.79,1.69,1.75,10923,91014400,1
2017.12.01,1.75,1.82,1.7,1.79,7298,67545600,1
2017.12.04,1.81,1.81,1.76,1.77,6175,40819200,1
2017.12.05,1.76,1.8,1.73,1.77,6651,50150400,1
2017.12.06,1.76,1.8,1.74,1.79,4999,39744000,1
2017.12.07,1.76,1.99,1.75,1.98,14565,134726400,1
2017.12.08,2.04,2.16,2.03,2.15,15056,160025600,1
2017.12.11,2.19,2.25,2.14,2.14,10038,82390400,1
2017.12.12,2.06,2.14,2.05,2.14,8290,67462400,1
2017.12.13,2.19,2.23,2.11,2.11,9882,77241600,1
2017.12.14,2.09,2.17,2.05,2.13,5873,51116800,1
2017.12.15,2.14,2.15,2.1,2.13,4356,33945600,1
2017.12.18,2.19,2.2,2.1,2.11,6348,38393600,1
2017.12.19,2.12,2.13,2.04,2.06,4709,36556800,1
2017.12.20,2.08,2.16,2.05,2.15,4947,35910400,1
2017.12.21,2.15,2.26,2.14,2.23,11301,86064000,1
2017.12.22,2.21,2.29,2.18,2.25,4739,42985600,1
2017.12.26,2.26,2.35,2.25,2.33,5391,59462400,1
2017.12.27,2.36,2.41,2.36,2.39,5869,41120000,1
2017.12.28,2.43,2.48,2.4,2.48,7472,91926400,1
