<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2020.06.23;08:00:00;97090;97495;96380;97305;1558319;5093661;5
2020.06.23;12:00:00;97300;97670;95840;96160;1190439;4319789;5
2020.06.23;16:00:00;96160;96325;95850;95850;417337;1538986;5
2020.06.24;08:00:00;95200;96120;94315;94350;1672127;5335963;5
2020.06.24;12:00:00;94350;94805;93370;94380;1487723;5441741;5
2020.06.24;16:00:00;94385;94890;94295;94725;449528;1681383;5
2020.06.25;08:00:00;93810;95600;93785;95170;1696537;5338060;5
2020.06.25;12:00:00;95175;95475;94575;95355;1304802;4524478;5
2020.06.25;16:00:00;95355;96515;95250;96190;559188;2039576;5
2020.06.26;08:00:00;95990;96125;94795;95130;1769846;5804410;5
2020.06.26;12:00:00;95135;95435;93835;93970;1266319;4745725;5
2020.06.26;16:00:00;93970;94070;93420;93450;446332;1762436;5
2020.06.29;08:00:00;94230;95350;93945;94850;1720625;5525890;5
2020.06.29;12:00:00;94850;95645;94465;95230;1332707;4747695;5
2020.06.29;16:00:00;95230;96270;95080;96180;513084;1845400;5
2020.06.30;08:00:00;95800;96405;94905;96350;1405024;4681380;5
2020.06.30;12:00:00;96355;96495;95535;95575;1339447;4430085;5
2020.06.30;16:00:00;95575;96075;95050;95100;644822;2361613;5
2020.07.01;08:00:00;94420;97110;94390;96695;1551097;5239109;5
2020.07.01;12:00:00;96695;96985;95870;96120;1290127;4815734;5
2020.07.01;16:00:00;96115;96550;96005;96130;429760;1633666;5
2020.07.02;08:00:00;97515;98180;96640;96890;1707459;5310130;5
2020.07.02;12:00:00;96890;97255;96190;96425;1219917;4399010;5
2020.07.02;16:00:00;96430;96770;96120;96480;448509;1709989;5
2020.07.03;08:00:00;96630;96795;96010;96510;1214489;3837021;5
2020.07.03;12:00:00;96510;96950;96355;96875;683164;2300641;5
2020.07.03;16:00:00;96875;96990;96765;96990;189172;690537;5
2020.07.06;08:00:00;98605;99490;98300;99440;1270680;4421754;5
2020.07.06;12:00:00;99435;99465;98465;98610;1146448;4328992;5
2020.07.06;16:00:00;98615;99275;98580;99260;396086;1598781;5
2020.07.07;08:00:00;98530;99110;98100;98590;1357010;4718515;5
2020.07.07;12:00:00;98590;98750;97370;98080;1427514;5652386;5
2020.07.07;16:00:00;98080;98125;97735;97950;388442;1598646;5
2020.07.08;08:00:00;98350;100020;98210;99615;1489065;5441348;5
2020.07.08;12:00:00;99620;100055;99190;99905;1208595;4634995;5
2020.07.08;16:00:00;99900;100175;99890;100150;373649;1447150;5
2020.07.09;08:00:00;99900;100385;99270;99315;1702068;5844478;5
2020.07.09;12:00:00;99320;99600;98925;99375;1211480;4591684;5
2020.07.09;16:00:00;99370;99540;99050;99100;378646;1529278;5
2020.07.10;08:00:00;98900;100000;98575;99840;1605378;5556993;5
2020.07.10;12:00:00;99845;99975;99580;99960;919152;3707581;5
2020.07.10;16:00:00;99960;100250;99870;99900;339488;1408294;5
2020.07.13;08:00:00;100750;101040;100435;100995;1325528;4474478;5
2020.07.13;12:00:00;100995;101010;100050;100270;1045038;3882846;5
2020.07.13;16:00:00;100275;100290;98300;98300;728233;2965812;5
2020.07.14;08:00:00;99195;99575;98360;99165;2026967;6977661;5
2020.07.14;12:00:00;99165;100615;99045;100555;1479280;5658551;5
2020.07.14;16:00:00;100560;100685;100265;100640;423427;1675117;5
